Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
88,0.375,-0.3125,-0.4375,-0.06591797,0.01123047,0.9399414,0.01953125,0.1933594,-0.6791992
89,-0.1875,-0.25,-0.5625,-0.04248047,0.04248047,0.9594727,0.01953125,0.1933594,-0.6791992
90,-0.3125,0.375,-0.5,-0.05029297,0.03857422,0.9555664,0.01953125,0.1933594,-0.6791992
91,-0.25,0.1875,-0.5,-0.04248047,0.02685547,0.9672852,0.01953125,0.1933594,-0.6791992
92,0.75,0.4375,-0.125,-0.04638672,0.02685547,0.9672852,0.02197266,0.1967773,-0.6835938
93,0,0.8125,-0.9375,-0.03466797,0.01513672,0.9594727,0.02197266,0.1967773,-0.6835938
94,-0.3125,0.5,-1.0625,-0.05810547,0.02294922,0.9633789,0.02197266,0.1967773,-0.6835938
95,0,0.875,-0.5625,-0.04248047,0.05029297,0.9790039,0.02197266,0.1860352,-0.6904297
96,0.125,1,-0.375,-0.05810547,0.01904297,0.9633789,0.02197266,0.1860352,-0.6904297
97,0.1875,1.0625,-0.625,-0.06591797,0.01904297,0.9868164,0.02197266,0.1860352,-0.6904297
98,-0.1875,0.5,-0.5625,-0.04638672,0.05029297,0.9829102,0.0234375,0.2060547,-0.6865234
99,-0.25,0,-0.5625,-0.04248047,0.03076172,0.9829102,0.0234375,0.2060547,-0.6865234
100,0.125,0.1875,-0.1875,-0.04638672,0.05029297,0.9946289,0.0234375,0.2060547,-0.6865234
101,-0.3125,-0.0625,-0.6875,-0.06591797,0.04638672,0.9672852,0.0234375,0.2060547,-0.6865234
102,0,-0.5625,-0.25,-0.04248047,0.04638672,0.9711914,0.01611328,0.1967773,-0.6835938
103,0.0625,-0.3125,0.125,-0.06982422,0.03076172,0.9829102,0.01611328,0.1967773,-0.6835938
104,-0.1875,0.1875,-0.9375,-0.04638672,0.04248047,0.9829102,0.01611328,0.1967773,-0.6835938
105,-0.3125,0.4375,-0.375,-0.05810547,0.05029297,0.9633789,0.02539063,0.190918,-0.6850586
106,0,0,-0.875,-0.04248047,0.04248047,0.9594727,0.02539063,0.190918,-0.6850586
107,0,0.4375,-0.4375,-0.05810547,0.03466797,0.9829102,0.02539063,0.190918,-0.6850586
108,-0.25,0,-0.3125,-0.06591797,0.04638672,0.9868164,0.0234375,0.1967773,-0.6806641
109,0,0,-0.6875,-0.06201172,0.03857422,0.9829102,0.0234375,0.1967773,-0.6806641
110,-0.0625,-0.3125,-0.25,-0.06591797,0.02294922,0.9594727,0.0234375,0.1967773,-0.6806641
111,-0.25,-0.5,-0.0625,-0.05810547,0.02685547,0.9594727,0.0234375,0.1967773,-0.6806641
112,0.375,-0.5625,-0.25,-0.06982422,0.03857422,0.9868164,0.0234375,0.1967773,-0.6806641
113,0.0625,-0.9375,-0.5,-0.05810547,0.03466797,0.9790039,0.0234375,0.1967773,-0.6806641
114,-0.8125,-1.125,0,-0.01513672,0.03857422,0.9399414,0.0234375,0.1967773,-0.6806641
115,-0.1875,-1.125,-0.125,-0.06201172,0.04248047,0.9555664,0.02197266,0.1953125,-0.6948242
116,-0.1875,-1.3125,-0.0625,-0.04248047,0.03857422,0.9672852,0.02197266,0.1953125,-0.6948242
117,0,-0.9375,0.25,-0.06591797,0.05419922,0.9750977,0.02197266,0.1953125,-0.6948242
118,0.125,-1.5625,0.25,-0.03466797,0.03076172,0.9555664,0.01855469,0.1918945,-0.6821289
119,-0.1875,-2,-0.4375,-0.05419922,0.04248047,0.9868164,0.01855469,0.1918945,-0.6821289
120,-0.375,-1.1875,-0.5,-0.04248047,0.05810547,0.9633789,0.01855469,0.1918945,-0.6821289
121,-0.0625,-1.1875,-0.625,-0.05810547,0.03857422,0.9829102,0.01855469,0.1918945,-0.6821289
122,0,-1.125,-0.5625,-0.05029297,0.04638672,0.9711914,0.01855469,0.1918945,-0.6821289
123,-0.3125,-0.9375,-0.5625,-0.04638672,0.03857422,0.9555664,0.01855469,0.1918945,-0.6821289
124,-0.3125,-0.1875,-0.8125,-0.04638672,0.06201172,0.9907227,0.01855469,0.1918945,-0.6821289
125,-0.4375,-1.6875,-0.5,-0.04638672,0.03076172,0.9711914,0.02783203,0.1967773,-0.6821289
126,-0.1875,-0.625,-0.25,-0.05419922,0.05029297,0.9477539,0.02783203,0.1967773,-0.6821289
127,-0.1875,-0.1875,-0.5625,-0.03466797,0.03076172,0.9672852,0.02783203,0.1967773,-0.6821289
128,-0.5,-0.0625,-0.6875,-0.06982422,0.05029297,0.9594727,0.02685547,0.1918945,-0.6791992
129,0.1875,-0.875,-0.5,-0.05810547,0.03857422,0.9868164,0.02685547,0.1918945,-0.6791992
130,0.25,-0.875,-0.625,-0.07373047,0.03466797,0.9829102,0.02685547,0.1918945,-0.6791992
131,0,-0.0625,-0.5,-0.04248047,0.02685547,0.9829102,0.01611328,0.190918,-0.6904297
