Packet number,Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
409,-0.023100706,-0.556583141,9.660532327
410,-0.117123079,-0.094405862,9.992048685
412,-0.177989588,-0.510554755,9.567960765
413,-0.34282144,-0.390145652,9.731713476
415,0.005308957,-0.272347592,9.946001096
416,0.034280123,-1.18279675,9.262541143
418,0.148570194,-0.355026951,9.965099543
419,-0.174811458,-0.37753465,9.891064458
421,-0.640107374,-0.867792681,9.559949729
422,-0.630870763,-0.222578243,9.738748218
424,-0.188934138,-0.008985161,9.758849781
425,0.013235975,-1.110489452,9.214267236
427,0.286375982,-0.418353098,9.841986647
428,0.061889561,-0.92343829,9.711701698
430,-0.109870829,-1.215542239,9.38020349
431,-0.235498212,-0.276728924,9.719913165
433,-0.252940691,-0.857533884,9.539142095
434,-0.011642148,-1.149269669,9.590636371
436,0.350414952,-0.696141559,9.800036314
437,0.327125393,-1.135767928,9.537120583
439,0.156783248,-0.865008667,9.694220407
440,-0.138457208,-0.529130372,9.78350138
442,-0.186718273,-0.880648816,9.424128377
443,0.283102919,-0.622190958,9.64868063
445,0.5716272,-1.286407333,9.522096137
446,0.113367188,-1.358650317,9.534663407
448,-0.256451691,-0.369300277,9.844271966
449,-0.451165792,-0.192727787,9.819307657
451,-0.355663073,-0.724211933,9.78186854
452,-0.104427483,-0.067561371,10.18801388
454,-0.065881236,-0.398459214,9.562826963
455,0.257828892,-0.061322508,9.563290656
457,0.193136501,-0.054430947,9.937116635
458,-0.01322019,-0.667322681,9.543958037
460,-0.203047718,-0.135235306,9.598808279
461,-0.185311174,0.209214665,9.910997492
463,-0.445026079,-0.61034237,9.589784174
464,0.028621161,0.314461694,9.585641343
466,0.393422909,0.434120965,9.793878874
467,0.662524558,-0.347195129,10.2342718
469,0.001206378,-1.272391394,10.13883382
470,-0.164068153,-0.160139628,10.01047017
472,-0.554598965,1.027979629,9.025567421
473,0.002747995,1.19081735,9.111441931
475,0.490787624,-0.825613186,9.698722417
476,0.640239543,-1.163334721,10.43235544
478,0.336567921,-1.322006924,9.545717854
479,-0.103932193,0.318361543,8.957822831
481,-0.788518301,0.694415903,9.204223312
482,-0.300442453,0.467980895,10.3102536
484,0.353068923,-0.896982325,10.11273181
485,0.996833931,-0.534357587,10.02367974
487,0.575130427,-0.356070211,9.367272711
489,-0.313888777,0.586686801,9.740558114
491,-0.990745427,-0.017882642,9.953352907
492,-0.527807738,-0.650977789,10.4679493
494,0.514010734,-1.43824483,9.769705755
495,1.047761057,-0.331915256,8.916383351
497,0.444519978,0.897121451,8.667359805
498,-0.604823958,0.080521916,9.128087186
500,-0.825774628,-0.304962256,10.41924805
501,-0.229634982,-1.630360796,9.916652731
503,0.530902918,-0.815231,9.451825911
504,0.586075226,-0.011236654,9.131848015
506,-0.006517535,-0.242701191,9.409933455
507,-0.540288761,-0.065160078,10.48623109
509,-0.361595331,-0.246022593,10.15457353
510,-0.006985038,-0.982486372,9.074465927
512,0.488054164,0.481174131,9.581954423
513,0.351357082,0.612009797,9.826229245
515,-0.282125115,-0.769684267,10.23510171
516,-0.584667891,-1.528950423,10.32643289
518,-0.447187774,-0.381971238,10.33520604
519,0.02044123,0.422983416,9.679540859
521,0.352767392,0.148289068,9.46398055
522,0.390190312,-0.613727276,10.1286128
524,-0.069637898,-1.355423737,10.24645279
525,-0.180655188,-0.278292337,9.748289896
527,-0.162080527,0.299574039,9.435580328
528,0.283670808,0.16592835,9.880440322
530,0.57189108,-1.044915829,9.646055405
531,0.519570146,-0.486507651,9.723911123
533,0.050205665,-0.197611587,9.429121619
534,-0.219721957,0.309065902,9.57250041
536,-0.001539375,-0.422401912,9.206392534
537,0.660916367,-0.833989179,9.454722539
539,0.893541881,-0.332505366,9.854800067
540,0.335858898,-0.227390971,9.207965185
542,-0.28578997,0.669620648,9.041872703
543,-0.258142734,0.577515371,8.690243433
545,0.452357103,0.148964893,8.9522805
546,0.729212456,-1.136023033,9.270605557
548,-0.119174164,-0.137888135,10.46356577
549,-1.233956231,-0.060326387,9.848773868
551,-0.660950851,0.412300283,9.770072801
552,0.175057339,-0.42303847,9.791616278
554,0.619417656,-0.705100915,10.37815276
555,-0.085973036,-0.693514388,10.10499802
557,-0.880446411,0.397355131,10.40557533
558,-1.087674465,-0.319620192,9.984160723
560,-0.247433374,-0.24739445,10.05507259
561,0.298898964,-0.627431638,9.798747247
563,0.773346241,-0.588113214,10.07764528
564,0.14269361,-0.932084574,9.970841683
566,-0.566200298,-0.135813635,9.663830802
567,-0.863251006,0.5657011,9.588591064
569,0.162221839,0.100709674,9.410387523
570,1.000134175,-0.541901155,9.783939254
572,0.753992015,-0.160332352,9.901817488
573,0.209352502,0.457869832,9.400294506
575,-0.27732009,0.590541753,9.111586062
576,-0.091261912,-0.117501526,9.326391669
578,0.345855068,-0.406485483,9.698365529
579,0.835563203,-0.619267966,9.361039189
581,0.762812031,0.11640427,9.503825261
582,-0.017028574,0.359052433,9.653309036
584,-0.078556339,0.565219185,9.655770465
586,0.146751986,-0.067054381,9.590554891
588,0.547809516,-0.502569217,9.366072927
589,0.718739059,0.691059361,10.28481884
591,0.129567853,0.316043848,10.05809581
592,-0.650299174,-0.66498086,9.691712392
594,-0.344260166,0.114146434,10.21808297
595,0.079390872,0.049912353,10.12449783
597,0.359498969,-0.125361144,10.04769349
598,0.133542366,-0.884658809,9.429500739
600,-0.349981976,-0.271904983,9.903156415
601,-0.909466916,-0.529659505,10.01100083
603,-0.644297235,0.271719476,10.30472317
604,-0.177472912,-0.224817768,9.343834578
606,0.171967786,0.157534497,9.143077029
607,0.055644784,0.149509834,9.76886732
609,-0.018121295,-0.091458836,9.899390058
610,0.256452849,-0.238321356,9.360457982
612,0.385832448,0.147692174,9.238119747
613,0.104553972,0.334730157,9.295465091
615,0.136797174,0.698771093,9.895659661
616,0.336645198,-0.282462637,9.664869674
618,0.631661083,-0.156684568,9.611082885
619,0.568024553,0.777511395,9.422427483
621,0.132049689,0.414454138,8.548510783
622,-0.229606348,0.097156347,9.093203471
624,-0.306211813,-0.030429966,10.30258085
625,0.202199252,-0.740651088,9.84964268
627,0.438694228,0.141132349,9.728591013
628,0.365925529,0.542462223,9.904439333
630,-0.433504747,-0.218349593,10.22422678
631,-0.708326139,-0.501443704,10.11037238
633,-0.034882551,-0.0993903,10.14928229
634,0.753707801,0.386279672,10.14416713
636,0.457966573,-0.595680096,9.052758574
637,-0.135023717,0.404322532,9.343369809
639,-0.546958454,0.262420923,9.746029419
640,0.079045094,-0.260373998,10.19376169
642,0.984240385,0.178845613,9.985362515
643,0.891743285,0.149431988,9.000421578
645,0.096535995,0.833660496,9.421716168
646,-0.839296614,-0.335709531,10.0343348
648,-0.335898261,-1.159239413,9.879024246
649,0.258125624,-0.745677264,9.493335774
651,0.294734993,-0.250599658,9.05883501
652,-0.0267013,0.253848258,9.327271746
654,-0.570300241,-0.138324754,9.739524111
655,-0.161344447,-0.235573617,10.11584663
657,0.251561585,-0.175646883,10.08965882
658,0.218801983,0.40421779,9.829208044
660,0.031004842,0.981949345,9.509539146
661,-0.378086351,0.51324433,9.342282866
663,0.171434519,0.350998475,10.33140517
664,0.584079901,-0.656444466,9.630530093
666,0.815912906,-0.381038572,8.825761636
667,0.268434336,0.093675784,9.245937897
669,-0.654014576,4.40E-04,10.08396024
670,-0.652621371,-0.649659789,10.03544813
672,0.146726648,0.209622891,9.426687287
673,0.690931003,1.020401033,9.446650269
675,0.578582056,-0.270385728,9.491683181
676,0.248609132,-0.743196203,9.731849792
678,-0.049509928,-0.439998145,9.749168541
679,-0.205445997,0.25059658,9.80202993
681,-0.245354267,0.698311502,9.339579625
683,0.090071026,1.068436402,9.335189653
685,0.307798563,0.114841329,9.233373087
686,0.246621381,-0.79697857,9.135110489
688,-0.006528615,-0.267295052,9.586195371
689,-0.456018191,0.301893381,9.670545507
691,-0.614239404,0.24796083,9.363770162
692,-0.098712218,-0.493335176,9.383731414
694,0.512405461,-0.772607219,9.841890585
695,0.372506856,-0.588507896,9.933211065
697,0.009037953,0.210710084,9.670507935
698,-0.34608599,0.633319809,9.569264823
700,-0.259358986,0.596769162,10.05196451
701,-0.156915868,-0.589694115,9.868949508
703,0.255245476,-0.11542503,10.19462352
704,0.530646428,-0.751039142,9.255361818
706,0.790249186,0.853567398,9.929241644
707,0.183284835,-0.361175908,9.579279123
709,-0.262884009,0.022246166,10.01740498
710,-0.560516316,-0.510054693,9.640638494
712,0.028122997,0.023561815,9.629479735
713,0.245834108,0.094051411,8.941914834
715,0.085116758,0.63217919,8.960025769
716,-0.257283098,0.501416655,9.870478399
718,-0.047692096,-0.440898849,10.24732988
719,0.591015803,-0.445130341,9.822237567
721,0.47844976,0.601122288,9.332120475
722,-0.119701245,0.87698349,9.475634861
724,-0.585122315,0.146164041,9.962397438
725,-0.130192587,-0.381504359,9.986315204
727,0.478293788,-0.368360894,9.757292044
728,0.394651723,0.032562186,9.636758817
730,0.045958219,-0.016633533,9.704245
731,-0.007359551,0.17325868,9.896234314
733,-0.60259358,-0.115798957,9.582147584
734,-0.173456422,0.415749285,10.13724046
736,-0.055981922,-0.096952088,10.17803351
737,0.453895786,0.206207239,9.983016628
739,0.561920585,0.243097107,9.873878035
740,0.135994988,-0.345345633,9.583981937
742,-0.480828741,-0.709070932,9.823984941
743,-0.80012391,-0.337119022,9.580663434
745,-0.008184718,0.677805617,10.18698231
746,0.294238237,0.013883214,10.31666524
748,-0.348383151,0.062980707,10.26699002
749,-0.711011378,0.899819433,10.07229115
751,-0.205647425,0.47586464,9.546086736
752,0.669377115,-0.564504204,9.666338382
754,0.30297767,-0.430452611,9.671227719
755,-0.31047262,0.191545672,8.945609138
757,-0.307976684,1.121188483,9.041503663
758,0.14678603,0.425573339,9.365212075
760,0.496573571,-0.701067767,9.641811541
761,0.53451034,0.197104831,9.461992225
763,0.249716257,0.791122877,9.611798914
764,-0.326965057,-0.36917185,9.563895803
766,-0.082779921,0.275707158,10.20066817
767,0.127533381,0.225893199,10.05495099
769,0.420797316,-0.568902873,9.783286587
770,0.193417076,-0.258519859,9.978629649
772,-0.65350095,0.605867267,9.771657464
773,-1.304372715,0.578055074,9.550313375
775,-0.814098342,-0.166771757,9.800548119
776,0.783182153,-0.12746037,10.23860454
778,1.39906956,-0.241873486,9.861790664
781,0.422009016,0.575671682,10.44900255
783,-1.94983677,-0.628117338,10.14913081
784,-1.73672196,0.018692071,10.04006878
786,0.186827325,-0.19694539,9.593196677
787,1.837884211,-0.439463357,9.526655581
789,0.667638104,-0.845929697,9.920012708
790,-0.633730748,-0.427152371,9.898733876
792,-0.783299391,1.004312383,9.680848132
793,-0.081324977,0.929431472,9.006059761
795,0.903821899,-0.287172159,8.71930747
796,0.93602747,-0.780132474,9.583605458
798,0.253091059,-0.077174757,9.720858537
799,-0.672786949,0.73657875,9.834714626
801,-0.97659641,0.480518153,9.043632303
802,-0.015289783,0.587028331,9.692358713
804,0.759311191,-0.982342793,9.780170757
805,0.800076228,-0.432551886,10.65356575
807,-0.004095422,0.542531372,10.56951257
808,-1.070694634,0.326557702,9.386378737
810,-0.428957865,0.922233541,9.720046127
811,0.163490936,-0.92188121,9.520537063
813,0.751140071,-0.341838698,10.6325818
814,0.050277914,0.007355687,10.22873254
816,-0.816812954,0.090426024,9.516886134
817,-0.722282735,-0.296161969,8.875714236
819,0.234668211,0.087243168,9.770133971
820,0.484894485,-1.023565745,9.751644412
822,0.912453785,0.187540206,10.35679138
823,0.187517872,-1.142913415,8.868655675
825,-0.401317633,0.68780591,9.837589805
826,-0.712568302,0.097917987,9.588236877
828,-0.101850359,0.733898613,10.18532461
829,0.55496372,-0.621242031,9.790695497
831,0.875615822,-0.264581259,9.665147604
832,0.501355447,0.589572807,9.140882408
834,0.119191854,1.040264338,8.87248167
835,-0.253859411,0.148989077,9.326905952
837,-0.356678316,-1.020090551,9.63295452
838,0.042210821,-0.278852099,9.755499034
840,0.214381963,0.790131094,9.957746111
841,-0.232395565,0.228652556,9.848618407
843,-0.284478793,-0.350487459,9.876260721
844,-0.267753182,-0.476127424,9.910470085
846,0.111222031,-0.456105326,9.934919385
847,0.323864647,-0.239386708,9.798849024
849,-0.077828392,-0.23828525,9.17074113
850,-0.58326358,-0.564261418,9.145786211
852,-0.23270692,0.132429866,10.27324598
853,0.617837201,-0.064716052,9.772629486
855,0.830409817,-0.779384896,8.800117534
856,0.414839954,-0.604940294,9.200248403
858,-0.189843369,-0.887729439,9.708443179
859,-0.517228545,-0.531582745,9.828598652
861,-0.465916272,-0.098297258,9.750490393
862,-0.299800768,0.664632617,10.18093677
864,-0.066834936,-0.393399489,9.816767742
865,0.967516783,-0.281009843,10.25318395
867,1.417531097,-0.687795334,9.808809771
868,0.749471237,0.066345674,9.824555383
870,-0.543932664,-0.160137327,9.072443338
871,-0.943151811,0.93786858,9.616141173
873,-0.504096394,0.239634273,9.749942808
874,0.204808334,-0.136836363,9.886195379
876,0.440872491,-0.517474414,9.330886485
878,0.200227002,0.219636692,9.227558979
880,-0.737115488,0.109150027,9.297510596
881,-0.31677462,0.177373877,10.15497358
883,0.692746283,-0.343128384,10.28115945
884,1.142811096,-0.166479368,9.590372411
886,-0.195833495,0.004532346,8.620671928
887,-1.900150387,0.32582011,9.389179446
889,-1.308390691,0.217908361,10.19750577
890,0.401782597,-1.036812061,9.859443339
892,1.911234967,-0.954307247,9.076203434
893,0.840722615,0.336732602,9.480197271
895,-1.026172706,-0.479482922,10.20271474
896,-2.310439881,-0.589529343,9.550570346
898,-0.852313601,1.632831676,9.021426498
899,1.250907449,0.946988488,8.116510688
901,1.713831331,-1.272250641,9.515102015
902,0.433056622,-1.499291034,9.654308998
904,-0.79838746,0.118375546,9.920547206
